#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
64,Costa Rica,"1,228,659",,"9,351                                ",,"860,711",,"358,597",52,"237,085","1,804","4,659,757","899,158","5,182,354 ",North America,,45541,,,"69,196"
65,Bolivia,"1,197,458",,"22,377                                ",,"1,166,413",,"8,668",220,"99,849","1,866","2,705,422","225,590","11,992,656 ",South America,,105364,,,723
66,Tunisia,"1,152,877",,"29,398                                ",,N/A,N/A,N/A,44,"95,701","2,440","5,010,521","415,926","12,046,656 ",Africa,,104102,,,"1,119"
67,Cuba,"1,113,374",,"8,530                                ",,"1,104,696",,148,2,"98,479",754,"14,345,279","1,268,859","11,305,652 ",North America,,"101,3251",,,13
68,UAE,"1,063,002",,"2,349                                ",,"1,046,765",,"13,888",,"105,438",233,"200,369,120","19,874,369","10,081,785 ",Asia,,"94,2920",,,"1,378"
69,Ecuador,"1,061,100",,"36,019                                ",,"1,023,510",,"1,571",759,"58,581","1,989","3,082,403","170,173","18,113,361 ",South America,,175036,,,87
70,Uruguay,"1,037,893",,"7,625                                ",,"1,029,835",,433,18,"296,879","2,181","6,114,822","1,749,083","3,496,016 ",South America,,34581,,,124
71,Panama,"1,037,324",,"8,621                                ",,"1,028,182",,521,16,"233,266","1,939","7,660,443","1,722,623","4,446,964 ",North America,,45161,,,117
72,Mongolia,"1,007,993",,"2,179                                ",,"1,005,787",,27,192,"298,392",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,8
73,Nepal,"1,003,064",,"12,031                                ",,"990,831",,202,,"33,186",398,"6,036,615","199,719","30,225,582 ",Asia,,"302,5125",,,7
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141
75,Latvia,"977,697",,"6,325                                ",,"971,095",,277,13,"528,817","3,421","7,874,100","4,258,948","1,848,837 ",Europe,,22920,,,150
76,Saudi Arabia,"841,348",,"9,646                                ",,"827,696",,"4,006",65,"23,472",269,"45,476,472","1,268,701","35,844,909 ",Asia,,"433,7161",,,112
77,Azerbaijan,"831,460",,"10,250                                ",,"820,953",,257,,"80,723",995,"7,593,644","737,232","10,300,205 ",Asia,,"121,0051",,,25
78,Paraguay,"809,731",,"19,916                                ",,N/A,N/A,N/A,7,"110,833","2,726","2,657,506","363,751","7,305,843 ",South America,,93673,,,"12,524"
79,Bahrain,"720,424",,"1,562                                ",,"718,310",,552,1,"403,829",876,"10,833,573","6,072,688","1,783,983 ",Asia,,"21,1420",,,309
80,Sri Lanka,"672,188",,"16,844                                ",,"655,320",,24,,"31,155",781,"6,486,117","300,619","21,575,842 ",Asia,,"321,2813",,,1
81,Kuwait,"665,741",,"2,570                                ",,"660,237",,"2,934",,"151,984",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,670
82,Dominican Republic,"661,045",,"4,384                                ",,"644,785",,"11,876",4,"59,789",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,"1,074"
83,Cyprus,"658,450",,"1,354                                ",,"655,550",,"1,546",60,"538,219","1,107","9,640,118","7,879,860","1,223,387 ",Asia,,29040,,,"1,264"
84,Myanmar,"635,452",,"19,492                                ",,"614,998",,962,,"11,506",353,"10,407,809","188,455","55,227,143 ",Asia,,"872,8335",,,17
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,30
